Bowler,Runs,Balls,Dismissals,Average,Strike Rate,Economy,Recommendation Score
Sandeep Sharma,141,92,7,20.14,153.26,9.33,57.91
A Nehra,60,57,6,10.0,105.26,6.63,37.91
RA Jadeja,179,163,5,35.8,109.82,6.92,52.23
Mohammed Shami,119,88,5,23.8,135.23,8.93,54.25
B Kumar,129,94,5,25.8,137.23,8.43,55.76
JJ Bumrah,164,111,5,32.8,147.75,9.08,62.54
UT Yadav,168,98,5,33.6,171.43,10.47,70.32
MJ McClenaghan,39,41,4,9.75,95.12,5.85,34.58
DS Kulkarni,101,82,4,25.25,123.17,7.54,51.08
SP Narine,149,141,4,37.25,105.67,6.38,51.6
IK Pathan,92,70,4,23.0,131.43,7.97,52.52
Z Khan,64,43,4,16.0,148.84,8.93,54.44
K Rabada,79,53,4,19.75,149.06,9.51,56.49
Avesh Khan,81,53,4,20.25,152.83,9.62,57.9
JH Kallis,29,35,3,9.67,82.86,5.14,30.72
L Balaji,23,25,3,7.67,92.0,5.52,32.54
AB Dinda,36,30,3,12.0,120.0,8.4,43.68
HH Pandya,60,55,3,20.0,109.09,6.76,44.08
M Morkel,66,62,3,22.0,106.45,6.58,44.25
JO Holder,29,22,3,9.67,131.82,8.18,46.02
KA Pollard,44,33,3,14.67,133.33,8.55,49.04
M Prasidh Krishna,69,43,3,23.0,160.47,9.91,61.62
PP Chawla,140,106,3,46.67,132.08,8.21,64.6
S Gopal,68,39,3,22.67,174.36,10.46,65.73
SM Curran,111,73,3,37.0,152.05,9.86,66.09
A Mishra,162,108,3,54.0,150.0,9.44,73.89
JP Behrendorff,13,14,2,6.5,92.86,6.0,32.31
PVD Chameera,18,20,2,9.0,90.0,5.4,32.58
Ravi Bishnoi,37,48,2,18.5,77.08,5.25,33.42
Mukesh Kumar,18,18,2,9.0,100.0,6.67,35.83
RJ Harris,21,21,2,10.5,100.0,8.29,36.91
SK Trivedi,33,31,2,16.5,106.45,7.16,41.62
A Ashish Reddy,32,26,2,16.0,123.08,7.38,46.4
M Muralitharan,50,39,2,25.0,128.21,7.69,52.5
P Awana,38,27,2,19.0,140.74,8.44,53.41
Harpreet Brar,79,73,2,39.5,108.22,6.9,53.6
YS Chahal,72,55,2,36.0,130.91,8.07,58.89
SB Jakati,74,57,2,37.0,129.82,7.79,59.01
Noor Ahmad,63,45,2,31.5,140.0,8.53,59.46
DL Chahar,80,63,2,40.0,126.98,8.1,59.71
Mustafizur Rahman,67,48,2,33.5,139.58,8.5,60.32
JD Unadkat,92,76,2,46.0,121.05,7.42,60.8
JA Morkel,73,53,2,36.5,137.74,8.38,61.25
AD Russell,88,67,2,44.0,131.34,8.06,63.01
RP Singh,62,39,2,31.0,158.97,9.85,65.16
Rashid Khan,106,79,2,53.0,134.18,8.05,68.36
SN Thakur,83,53,2,41.5,156.6,9.74,69.68
CH Morris,109,73,2,54.5,149.32,9.04,73.85
Arshdeep Singh,109,69,2,54.5,157.97,10.26,76.69
HV Patel,107,61,2,53.5,175.41,11.02,81.58
DJ Bravo,157,110,2,78.5,142.73,8.95,83.86
SS Cottrell,0,4,1,0.0,0.0,0.0,0.0
D Brevis,0,1,1,0.0,0.0,0.0,0.0
C Nanda,0,2,1,0.0,0.0,0.0,0.0
AN Ahmed,0,1,1,0.0,0.0,0.0,0.0
DAJ Bracewell,0,1,1,0.0,0.0,0.0,0.0
P Suyal,0,2,1,0.0,0.0,0.0,0.0
Sohail Tanvir,1,6,1,1.0,16.67,2.0,5.9
L Ngidi,1,3,1,1.0,33.33,4.0,11.3
Mujeeb Ur Rahman,2,5,1,2.0,40.0,2.4,13.48
VRV Singh,3,7,1,3.0,42.86,3.43,15.04
KM Asif,1,2,1,1.0,50.0,3.0,16.1
MF Maharoof,1,2,1,1.0,50.0,3.0,16.1
MM Ali,4,8,1,4.0,50.0,3.75,17.75
Mukesh Choudhary,5,10,1,5.0,50.0,3.6,18.22
Azhar Mahmood,6,11,1,6.0,54.55,3.82,20.13
STR Binny,3,4,1,3.0,75.0,4.5,24.9
SK Warne,16,28,1,16.0,57.14,3.43,25.83
AD Mathews,9,13,1,9.0,69.23,4.15,26.1
Lalit Yadav,6,8,1,6.0,75.0,5.25,26.55
JP Faulkner,10,14,1,10.0,71.43,5.14,27.46
M Kartik,5,6,1,5.0,83.33,5.0,28.5
M Siddharth,7,8,1,7.0,87.5,5.25,30.8
KW Richardson,12,15,1,12.0,80.0,4.8,30.96
SR Watson,19,26,1,19.0,73.08,4.85,32.39
MM Patel,20,25,1,20.0,80.0,5.04,35.01
Harsh Dubey,11,11,1,11.0,100.0,6.0,36.7
RS Bopara,12,12,1,12.0,100.0,8.5,37.7
DT Christian,22,25,1,22.0,88.0,5.76,38.55
K Gowtham,24,27,1,24.0,88.89,5.33,39.73
A Nortje,18,18,1,18.0,100.0,6.67,40.33
AC Thomas,6,5,1,6.0,120.0,7.2,40.44
V Nigam,13,11,1,13.0,118.18,7.09,43.37
KA Jamieson,14,12,1,14.0,116.67,7.0,43.4
J Suchith,10,8,1,10.0,125.0,7.5,44.0
PP Ojha,31,31,1,31.0,100.0,6.0,46.7
DE Bollinger,26,24,1,26.0,108.33,7.25,46.95
Azmatullah Omarzai,27,24,1,27.0,112.5,7.0,48.65
Basil Thampi,29,26,1,29.0,111.54,6.92,49.35
NM Coulter-Nile,10,7,1,10.0,142.86,8.57,49.57
RD Chahar,42,43,1,42.0,97.67,6.0,51.5
R Vinay Kumar,26,21,1,26.0,123.81,7.43,51.63
DP Nannes,20,15,1,20.0,133.33,10.0,52.0
M Markande,38,35,1,38.0,108.57,6.51,52.87
M Jansen,26,20,1,26.0,130.0,8.4,53.68
Pankaj Singh,23,17,1,23.0,135.29,8.12,53.71
Bipul Sharma,21,15,1,21.0,140.0,8.4,54.18
Arshad Khan,26,19,1,26.0,136.84,9.47,55.95
A Kamboj,21,14,1,21.0,150.0,9.0,57.3
Imran Tahir,34,26,1,34.0,130.77,7.85,57.8
N Rana,16,10,1,16.0,160.0,9.6,57.92
Akash Singh,20,13,1,20.0,153.85,9.23,58.0
Joginder Sharma,7,4,1,7.0,175.0,12.0,58.4
Harshit Rana,33,24,1,33.0,137.5,8.25,59.4
AF Milne,15,9,1,15.0,166.67,10.0,59.5
Prince Yadav,17,10,1,17.0,170.0,10.8,61.66
BA Stokes,14,8,1,14.0,175.0,11.25,61.75
CV Varun,55,48,1,55.0,114.58,6.88,63.25
Anureet Singh,26,16,1,26.0,162.5,9.75,63.7
MJ Santner,52,43,1,52.0,120.93,7.26,63.73
MS Gony,60,55,1,60.0,109.09,6.87,64.1
WPUJC Vaas,4,2,1,4.0,200.0,12.0,64.4
SK Raina,54,45,1,54.0,120.0,7.33,64.47
MC Henriques,37,25,1,37.0,148.0,8.88,64.68
R Sharma,46,34,1,46.0,135.29,8.12,65.21
Kamran Khan,20,11,1,20.0,181.82,10.91,66.73
Shakib Al Hasan,56,45,1,56.0,124.44,7.47,66.83
TG Southee,60,50,1,60.0,120.0,7.44,67.49
S Nadeem,65,58,1,65.0,112.07,6.83,67.49
Kartik Tyagi,37,23,1,37.0,160.87,9.91,68.74
PV Tambe,49,34,1,49.0,144.12,8.65,69.46
HF Gurney,24,13,1,24.0,184.62,11.08,69.6
P Kumar,69,60,1,69.0,115.0,7.1,70.42
JC Archer,64,48,1,64.0,133.33,9.0,73.8
Kuldeep Yadav,75,64,1,75.0,117.19,7.12,74.08
KK Ahmed,51,32,1,51.0,159.38,9.94,75.3
BJ Hodge,7,3,1,7.0,233.33,14.0,76.3
A Symonds,24,11,1,24.0,218.18,13.64,80.18
NLTC Perera,66,42,1,66.0,157.14,10.0,82.14
Harbhajan Singh,87,69,1,87.0,126.09,7.83,82.89
BB Sran,10,4,1,10.0,250.0,15.0,83.0
AR Patel,100,91,1,100.0,109.89,6.66,84.3
TA Boult,97,80,1,97.0,121.25,7.95,86.46
MA Starc,59,32,1,59.0,184.38,12.0,87.21
T Natarajan,66,36,1,66.0,183.33,11.17,90.23
MM Sharma,90,62,1,90.0,145.16,8.71,90.29
KH Pandya,117,110,1,117.0,106.36,6.55,91.72
I Sharma,112,79,1,112.0,141.77,9.19,100.37
KC Cariappa,43,16,1,43.0,268.75,16.5,105.42
R Ashwin,181,157,1,181.0,115.29,7.41,126.57
LA Carseldine,0,1,0,0.0,0.0,0.0,0.0
SMSM Senanayake,0,2,0,0.0,0.0,0.0,0.0
NB Singh,1,5,0,1.0,20.0,2.4,6.98
A Flintoff,1,4,0,1.0,25.0,1.5,8.3
G Coetzee,1,3,0,1.0,33.33,2.0,10.9
MN Samuels,1,3,0,1.0,33.33,2.0,10.9
B Laughlin,1,2,0,1.0,50.0,3.0,16.1
T Henderson,1,2,0,1.0,50.0,3.0,16.1
DJ Willey,2,4,0,2.0,50.0,3.0,16.6
RR Powar,2,4,0,2.0,50.0,3.0,16.6
V Pratap Singh,4,7,0,4.0,57.14,3.43,19.83
Washington Sundar,3,5,0,3.0,60.0,3.6,20.22
DP Vijaykumar,3,5,0,3.0,60.0,4.8,20.46
GH Vihari,2,3,0,2.0,66.67,4.0,21.8
LJ Wright,4,6,0,4.0,66.67,4.0,22.8
J Little,3,4,0,3.0,75.0,4.5,24.9
GF Linde,3,4,0,3.0,75.0,4.5,24.9
BE Hendricks,3,4,0,3.0,75.0,4.5,24.9
Yash Thakur,5,7,0,5.0,71.43,6.0,25.13
Monu Kumar,3,4,0,3.0,75.0,6.0,25.2
IC Pandey,7,10,0,7.0,70.0,4.2,25.34
Vijaykumar Vyshak,6,8,0,6.0,75.0,5.25,26.55
JP Duminy,8,11,0,8.0,72.73,4.36,26.69
CJ Jordan,6,8,0,6.0,75.0,6.0,26.7
Mohammad Nabi,4,5,0,4.0,80.0,4.8,26.96
Parvez Rasool,7,9,0,7.0,77.78,5.33,27.9
MJ Clarke,5,6,0,5.0,83.33,5.0,28.5
WD Parnell,7,8,0,7.0,87.5,5.25,30.8
Shahbaz Ahmed,14,18,0,14.0,77.78,4.67,31.27
CR Woakes,1,1,0,1.0,100.0,6.0,31.7
V Sehwag,1,1,0,1.0,100.0,6.0,31.7
AG Murtaza,1,1,0,1.0,100.0,6.0,31.7
TL Suman,1,1,0,1.0,100.0,6.0,31.7
BAW Mendis,1,1,0,1.0,100.0,6.0,31.7
Iqbal Abdulla,11,13,0,11.0,84.62,5.54,31.99
N Wadhera,2,2,0,2.0,100.0,6.0,32.2
SR Dubey,2,2,0,2.0,100.0,6.0,32.2
DJ Hussey,2,2,0,2.0,100.0,6.0,32.2
Anand Rajan,2,2,0,2.0,100.0,6.0,32.2
Fazalhaq Farooqi,3,3,0,3.0,100.0,6.0,32.7
LRPL Taylor,3,3,0,3.0,100.0,6.0,32.7
DA Payne,4,4,0,4.0,100.0,6.0,33.2
M Ntini,5,5,0,5.0,100.0,6.0,33.7
Shahid Afridi,5,5,0,5.0,100.0,6.0,33.7
GB Hogg,7,7,0,7.0,100.0,6.0,34.7
R Shukla,7,7,0,7.0,100.0,6.0,34.7
RP Meredith,8,8,0,8.0,100.0,6.0,35.2
XC Bartlett,9,9,0,9.0,100.0,6.0,35.7
DL Vettori,9,9,0,9.0,100.0,6.0,35.7
Mohsin Khan,10,10,0,10.0,100.0,6.6,36.32
KL Nagarkoti,11,11,0,11.0,100.0,6.0,36.7
JR Hazlewood,11,11,0,11.0,100.0,6.0,36.7
S Sreesanth,24,30,0,24.0,80.0,5.0,37.0
Ankit Sharma,23,27,0,23.0,85.19,5.33,38.12
A Chandila,15,15,0,15.0,100.0,6.0,38.7
AL Menaria,9,8,0,9.0,112.5,6.75,39.6
J Yadav,8,7,0,8.0,114.29,6.86,39.66
C Sakariya,17,17,0,17.0,100.0,6.0,39.7
BCJ Cutting,11,10,0,11.0,110.0,6.6,39.82
Mayank Dagar,13,12,0,13.0,108.33,6.5,40.3
P Parameswaran,5,4,0,5.0,125.0,7.5,41.5
B Lee,17,16,0,17.0,106.25,6.38,41.65
R McLaren,18,17,0,18.0,105.88,7.06,42.18
CR Brathwaite,12,10,0,12.0,120.0,7.8,43.56
Navdeep Saini,4,3,0,4.0,133.33,8.0,43.6
HR Shokeen,4,3,0,4.0,133.33,8.0,43.6
Harmeet Singh,18,16,0,18.0,112.5,7.5,44.25
Auqib Nabi,9,7,0,9.0,128.57,8.57,44.79
SL Malinga,34,38,0,34.0,89.47,6.0,45.04
S Randiv,8,6,0,8.0,133.33,8.0,45.6
DW Steyn,28,27,0,28.0,103.7,6.44,46.4
GJ Maxwell,14,11,0,14.0,127.27,7.64,46.71
N Burger,24,22,0,24.0,109.09,10.91,46.91
S Badree,14,11,0,14.0,127.27,9.82,47.15
Gagandeep Singh,7,5,0,7.0,140.0,8.4,47.18
AS Joseph,12,9,0,12.0,133.33,8.0,47.6
JD Ryder,11,8,0,11.0,137.5,8.25,48.4
R Sai Kishore,27,24,0,27.0,112.5,6.75,48.6
DS Rathi,17,13,0,17.0,130.77,7.85,49.3
CJ Anderson,16,12,0,16.0,133.33,8.0,49.6
M Manhas,6,4,0,6.0,150.0,9.0,49.8
J Botha,6,4,0,6.0,150.0,9.0,49.8
OF Smith,6,4,0,6.0,150.0,10.5,50.1
S Sandeep Warrier,6,4,0,6.0,150.0,10.5,50.1
K Kartikeya,13,9,0,13.0,144.44,8.67,51.57
M Theekshana,28,23,0,28.0,121.74,7.57,52.03
S Kaul,18,13,0,18.0,138.46,8.31,52.2
MP Stoinis,18,13,0,18.0,138.46,8.31,52.2
Simarjeet Singh,12,8,0,12.0,150.0,9.0,52.8
C Green,16,11,0,16.0,145.45,9.27,53.49
MG Johnson,28,22,0,28.0,127.27,7.91,53.76
M Ashwin,38,34,0,38.0,111.76,6.71,53.87
SC Ganguly,8,5,0,8.0,160.0,9.6,53.92
M Pathirana,15,10,0,15.0,150.0,9.6,54.42
AK Markram,5,3,0,5.0,166.67,10.0,54.5
JDP Oram,5,3,0,5.0,166.67,10.0,54.5
YK Pathan,5,3,0,5.0,166.67,10.0,54.5
JR Hopes,11,7,0,11.0,157.14,10.29,54.7
YA Abdulla,11,7,0,11.0,157.14,10.29,54.7
R Tewatia,40,36,0,40.0,111.11,7.0,54.73
MR Marsh,28,21,0,28.0,133.33,8.0,55.6
PWH de Silva,27,20,0,27.0,135.0,8.1,55.62
NT Ellis,14,9,0,14.0,155.56,10.67,55.8
AS Roy,25,18,0,25.0,138.89,8.67,55.9
Mohammed Siraj,18,12,0,18.0,150.0,9.5,55.9
DR Smith,10,6,0,10.0,166.67,10.0,57.0
JDS Neesham,10,6,0,10.0,166.67,10.0,57.0
Abhishek Sharma,28,20,0,28.0,140.0,9.3,57.86
Nithish Kumar Reddy,16,10,0,16.0,160.0,10.2,58.04
SB Styris,16,10,0,16.0,160.0,10.2,58.04
GD Phillips,7,4,0,7.0,175.0,10.5,58.1
P Amarnath,7,4,0,7.0,175.0,10.5,58.1
AJ Tye,43,36,0,43.0,119.44,7.33,58.8
LS Livingstone,23,15,0,23.0,153.33,9.6,59.42
L Ablish,12,7,0,12.0,171.43,10.29,59.49
V Kaverappa,18,11,0,18.0,163.64,9.82,60.05
WG Jacks,9,5,0,9.0,180.0,10.8,60.66
PJ Sangwan,38,28,0,38.0,135.71,8.36,61.39
Yuvraj Singh,30,20,0,30.0,150.0,9.0,61.8
CRD Fernando,23,14,0,23.0,164.29,10.29,62.84
P Negi,45,34,0,45.0,132.35,7.94,63.79
Shivam Mavi,25,15,0,25.0,166.67,10.4,64.58
S Lamichhane,29,18,0,29.0,161.11,9.67,64.77
KJ Abbott,18,10,0,18.0,180.0,11.4,65.28
SJ Srivastava,6,3,0,6.0,200.0,12.0,65.4
Y Venugopal Rao,6,3,0,6.0,200.0,12.0,65.4
Suyash Sharma,20,11,0,20.0,181.82,11.45,66.84
R Bhatia,40,26,0,40.0,153.85,9.46,68.05
Naveen-ul-Haq,12,6,0,12.0,200.0,12.0,68.4
Shashank Singh,12,6,0,12.0,200.0,12.0,68.4
A Singh,12,6,0,12.0,200.0,12.0,68.4
FH Edwards,19,10,0,19.0,190.0,12.0,68.9
MJ Suthar,14,7,0,14.0,200.0,12.0,69.4
PJ Cummins,48,33,0,48.0,145.45,9.27,69.49
E Malinga,16,8,0,16.0,200.0,12.75,70.55
AM Nayar,18,9,0,18.0,200.0,12.0,71.4
R Parag,39,23,0,39.0,169.57,10.17,72.4
AS Rajpoot,33,18,0,33.0,183.33,11.67,73.83
CJ Dala,24,12,0,24.0,200.0,12.5,74.5
RG Sharma,9,4,0,9.0,225.0,13.5,74.7
TU Deshpande,32,17,0,32.0,188.24,11.65,74.8
DJG Sammy,7,3,0,7.0,233.33,16.0,76.7
VR Aaron,33,17,0,33.0,194.12,12.0,77.14
RN ten Doeschate,5,2,0,5.0,250.0,15.0,80.5
A Zampa,33,16,0,33.0,206.25,12.38,80.85
Yash Dayal,48,26,0,48.0,184.62,11.08,81.6
MJ Henry,19,8,0,19.0,237.5,14.25,83.6
LH Ferguson,72,45,0,72.0,160.0,9.6,85.92
DJM Short,8,3,0,8.0,266.67,16.0,87.2
V Puthur,8,3,0,8.0,266.67,16.0,87.2
