Bowler,Dismissals,Runs,Balls,Average,Strike Rate,Threat Score
Sandeep Sharma,7,141,92,20.14,153.26,184.35
A Nehra,6,60,57,10.0,105.26,168.95
RA Jadeja,5,179,163,35.8,109.82,143.04
Mohammed Shami,5,119,88,23.8,135.23,137.95
B Kumar,5,129,94,25.8,137.23,137.55
JJ Bumrah,5,164,111,32.8,147.75,135.45
UT Yadav,5,168,98,33.6,171.43,130.71
MJ McClenaghan,4,39,41,9.75,95.12,120.98
SP Narine,4,149,141,37.25,105.67,118.87
DS Kulkarni,4,101,82,25.25,123.17,115.37
IK Pathan,4,92,70,23.0,131.43,113.71
Z Khan,4,64,43,16.0,148.84,110.23
K Rabada,4,79,53,19.75,149.06,110.19
Avesh Khan,4,81,53,20.25,152.83,109.43
JH Kallis,3,29,35,9.67,82.86,98.43
L Balaji,3,23,25,7.67,92.0,96.6
M Morkel,3,66,62,22.0,106.45,93.71
HH Pandya,3,60,55,20.0,109.09,93.18
AB Dinda,3,36,30,12.0,120.0,91.0
JO Holder,3,29,22,9.67,131.82,88.64
PP Chawla,3,140,106,46.67,132.08,88.58
KA Pollard,3,44,33,14.67,133.33,88.33
A Mishra,3,162,108,54.0,150.0,85.0
SM Curran,3,111,73,37.0,152.05,84.59
M Prasidh Krishna,3,69,43,23.0,160.47,82.91
S Gopal,3,68,39,22.67,174.36,80.13
Ravi Bishnoi,2,37,48,18.5,77.08,74.58
PVD Chameera,2,18,20,9.0,90.0,72.0
JP Behrendorff,2,13,14,6.5,92.86,71.43
Mukesh Kumar,2,18,18,9.0,100.0,70.0
RJ Harris,2,21,21,10.5,100.0,70.0
SK Trivedi,2,33,31,16.5,106.45,68.71
Harpreet Brar,2,79,73,39.5,108.22,68.36
JD Unadkat,2,92,76,46.0,121.05,65.79
A Ashish Reddy,2,32,26,16.0,123.08,65.38
P Suyal,1,0,2,0.0,0.0,65.0
AN Ahmed,1,0,1,0.0,0.0,65.0
SS Cottrell,1,0,4,0.0,0.0,65.0
D Brevis,1,0,1,0.0,0.0,65.0
DAJ Bracewell,1,0,1,0.0,0.0,65.0
C Nanda,1,0,2,0.0,0.0,65.0
DL Chahar,2,80,63,40.0,126.98,64.6
M Muralitharan,2,50,39,25.0,128.21,64.36
SB Jakati,2,74,57,37.0,129.82,64.04
YS Chahal,2,72,55,36.0,130.91,63.82
AD Russell,2,88,67,44.0,131.34,63.73
