cumulative_score,wickets_fallen,current_run_rate,balls_remaining
0,0,0.0,119
0,0,0.0,118
4,0,8.0,117
4,0,6.0,116
6,0,7.2,115
6,0,6.0,114
7,0,6.0,113
8,0,6.86,113
12,0,9.0,112
13,0,8.67,111
19,0,11.4,110
19,1,10.36,109
19,1,9.5,108
23,1,10.62,107
24,1,11.08,107
24,1,10.29,106
24,1,9.6,105
27,1,10.12,104
28,1,9.88,103
29,1,9.67,102
29,1,9.16,101
30,1,9.0,100
30,1,8.57,99
31,1,8.45,98
32,1,8.35,97
33,1,8.25,96
34,1,8.16,95
35,1,8.08,94
36,1,8.0,93
38,1,8.14,92
42,1,8.69,91
42,1,8.4,90
46,1,8.9,89
50,1,9.38,88
50,1,9.09,87
54,1,9.53,86
58,1,9.94,85
59,1,9.83,84
60,1,9.73,83
60,1,9.47,82
61,1,9.38,81
62,1,9.3,80
63,1,9.22,79
64,1,9.14,78
65,1,9.07,77
66,1,9.0,76
67,1,8.93,75
73,1,9.52,74
74,1,9.45,73
75,1,9.38,72
77,1,9.43,71
78,1,9.36,70
79,1,9.29,69
80,1,9.23,68
82,1,9.28,67
84,1,9.33,66
84,1,9.16,65
85,1,9.11,64
86,1,9.05,63
87,1,9.0,62
88,1,8.95,61
88,1,8.8,60
89,1,8.75,59
93,1,9.0,58
93,2,8.86,57
94,2,8.81,56
96,2,8.86,55
98,2,8.91,54
99,2,8.87,53
99,2,8.74,52
100,2,8.7,51
101,2,8.66,50
105,2,8.87,49
106,2,8.83,48
110,2,9.04,47
116,2,9.41,46
120,2,9.6,45
120,2,9.47,44
121,2,9.43,43
123,2,9.46,42
124,2,9.42,41
128,2,9.72,41
129,2,9.67,40
130,2,9.63,39
131,2,9.59,38
131,2,9.47,37
132,2,9.43,36
136,2,9.6,35
137,2,9.56,34
143,2,9.86,33
144,2,9.82,32
150,2,10.11,31
151,2,10.07,30
151,2,9.96,29
151,3,9.85,28
152,3,9.81,27
153,3,9.77,26
154,3,9.73,25
155,3,9.69,24
156,3,9.65,23
156,3,9.55,22
160,3,9.7,21
161,3,9.66,20
161,3,9.56,19
162,3,9.53,18
168,3,9.79,17
169,3,9.75,16
170,3,9.71,15
171,3,9.68,14
175,3,9.81,13
176,3,9.78,12
178,3,9.8,11
