Bowler,Runs,Balls,Dismissals,Average,Strike Rate,Wicket Probability,Threat Score
Mukesh Choudhary,5,10,1,5.0,50.0,10.0,52.0
Azhar Mahmood,6,11,1,6.0,54.55,9.09,50.18
SK Warne,16,28,1,16.0,57.14,3.57,46.64
A Nehra,60,57,6,10.0,105.26,10.53,45.68
JH Kallis,29,35,3,9.67,82.86,8.57,45.43
AD Mathews,9,13,1,9.0,69.23,7.69,45.08
L Balaji,23,25,3,7.67,92.0,12.0,44.4
MJ McClenaghan,39,41,4,9.75,95.12,9.76,44.34
JP Faulkner,10,14,1,10.0,71.43,7.14,44.14
JP Behrendorff,13,14,2,6.5,92.86,14.29,43.29
Ravi Bishnoi,37,48,2,18.5,77.08,4.17,42.96
PVD Chameera,18,20,2,9.0,90.0,10.0,42.0
SR Watson,19,26,1,19.0,73.08,3.85,42.0
KW Richardson,12,15,1,12.0,80.0,6.67,41.33
MM Patel,20,25,1,20.0,80.0,4.0,40.0
Mukesh Kumar,18,18,2,9.0,100.0,11.11,39.56
IC Pandey,7,10,0,7.0,70.0,0.0,39.0
RJ Harris,21,21,2,10.5,100.0,9.52,38.76
RA Jadeja,179,163,5,35.8,109.82,3.07,38.59
JP Duminy,8,11,0,8.0,72.73,0.0,38.18
SP Narine,149,141,4,37.25,105.67,2.84,37.72
DT Christian,22,25,1,22.0,88.0,4.0,37.6
K Gowtham,24,27,1,24.0,88.89,3.7,37.19
Shahbaz Ahmed,14,18,0,14.0,77.78,0.0,36.67
Harsh Dubey,11,11,1,11.0,100.0,9.09,36.55
M Morkel,66,62,3,22.0,106.45,4.84,36.48
RS Bopara,12,12,1,12.0,100.0,8.33,36.17
HH Pandya,60,55,3,20.0,109.09,5.45,36.0
S Sreesanth,24,30,0,24.0,80.0,0.0,36.0
SK Trivedi,33,31,2,16.5,106.45,6.45,35.29
AB Dinda,36,30,3,12.0,120.0,10.0,35.0
A Nortje,18,18,1,18.0,100.0,5.56,34.78
Iqbal Abdulla,11,13,0,11.0,84.62,0.0,34.62
Ankit Sharma,23,27,0,23.0,85.19,0.0,34.44
RD Chahar,42,43,1,42.0,97.67,2.33,33.86
PP Ojha,31,31,1,31.0,100.0,3.23,33.61
DS Kulkarni,101,82,4,25.25,123.17,4.88,33.49
JO Holder,29,22,3,9.67,131.82,13.64,33.27
SL Malinga,34,38,0,34.0,89.47,0.0,33.16
Harpreet Brar,79,73,2,39.5,108.22,2.74,32.9
Mohammed Shami,119,88,5,23.8,135.23,5.68,32.27
Sandeep Sharma,141,92,7,20.14,153.26,7.61,31.83
DE Bollinger,26,24,1,26.0,108.33,4.17,31.58
B Kumar,129,94,5,25.8,137.23,5.32,31.49
IK Pathan,92,70,4,23.0,131.43,5.71,31.43
KA Jamieson,14,12,1,14.0,116.67,8.33,31.17
V Nigam,13,11,1,13.0,118.18,9.09,31.09
A Ashish Reddy,32,26,2,16.0,123.08,7.69,30.92
M Markande,38,35,1,38.0,108.57,2.86,30.86
KA Pollard,44,33,3,14.67,133.33,9.09,30.55
KH Pandya,117,110,1,117.0,106.36,0.91,30.55
Basil Thampi,29,26,1,29.0,111.54,3.85,30.46
Azmatullah Omarzai,27,24,1,27.0,112.5,4.17,30.33
MS Gony,60,55,1,60.0,109.09,1.82,30.18
Mohsin Khan,10,10,0,10.0,100.0,0.0,30.0
A Chandila,15,15,0,15.0,100.0,0.0,30.0
KL Nagarkoti,11,11,0,11.0,100.0,0.0,30.0
JR Hazlewood,11,11,0,11.0,100.0,0.0,30.0
C Sakariya,17,17,0,17.0,100.0,0.0,30.0
AR Patel,100,91,1,100.0,109.89,1.1,29.58
S Nadeem,65,58,1,65.0,112.07,1.72,29.24
JD Unadkat,92,76,2,46.0,121.05,2.63,29.0
DW Steyn,28,27,0,28.0,103.7,0.0,28.89
CV Varun,55,48,1,55.0,114.58,2.08,28.67
P Kumar,69,60,1,69.0,115.0,1.67,28.33
R McLaren,18,17,0,18.0,105.88,0.0,28.24
B Lee,17,16,0,17.0,106.25,0.0,28.12
M Muralitharan,50,39,2,25.0,128.21,5.13,28.1
Z Khan,64,43,4,16.0,148.84,9.3,28.0
JJ Bumrah,164,111,5,32.8,147.75,4.5,27.93
PP Chawla,140,106,3,46.67,132.08,2.83,27.79
R Ashwin,181,157,1,181.0,115.29,0.64,27.73
Kuldeep Yadav,75,64,1,75.0,117.19,1.56,27.62
Mayank Dagar,13,12,0,13.0,108.33,0.0,27.5
DL Chahar,80,63,2,40.0,126.98,3.17,27.49
N Burger,24,22,0,24.0,109.09,0.0,27.27
R Vinay Kumar,26,21,1,26.0,123.81,4.76,27.24
SK Raina,54,45,1,54.0,120.0,2.22,27.11
K Rabada,79,53,4,19.75,149.06,7.55,27.06
